cluster_id,origin...,basis_dim,basis_vectors...
0,-1.26168,-2.21358,-4.48186,1,0.184827,0.689026,0.700773
1,2.17589,-5.7056,-0.452067,1,0.915357,-0.221434,0.336288
2,-0.955136,-2.08328,-1.77962,1,0.0426026,0.976566,-0.210961
3,2.64321,2.9491,0.072454,1,0.917321,0.385447,0.0997655
4,2.08311,-5.7672,-1.06367,1,0.877161,-0.324693,0.353783
0,5.30965,4.43945,2.24272,1,0.559635,0.386982,-0.732839
5,5.08163,3.22579,2.46621,1,-0.450546,-0.411075,0.792481
6,1.92112,-5.26131,-2.44805,1,0.778451,-0.12628,0.614872
7,-1.10314,-1.8773,-4.98771,1,0.168408,0.648333,0.742498
8,5.55316,3.49508,2.84592,1,-0.637595,-0.296315,0.711105
0,-1.33521,-1.9613,-3.422,1,0.100175,0.700047,0.707035
9,-1.70296,-1.53287,-4.02207,1,-0.192691,-0.649306,-0.735712
10,6.58926,-0.809714,0.399462,1,0.113288,0.977438,-0.178269
11,0.147658,-0.0659966,-1.07828,1,0.348811,0.472987,0.809082
0,2.48942,-5.97761,-0.810544,1,-0.927091,0.200773,-0.316533
12,1.84505,-2.41938,0.53728,1,0.676959,-0.729566,0.0972599
3,4.88137,4.70769,2.14026,1,0.516202,0.354959,-0.779448
2,-1.25083,-3.93116,-4.79148,1,0.341655,-0.25416,0.904806
13,5.56071,3.41111,2.90581,1,0.493829,0.328441,-0.805146
