x0,x1,x2,cluster_id
1.56858,-3.61033,-1.81483,6
0.511495,-4.00455,-1.62926,6
0.210603,-4.12747,-0.882339,5
-0.682485,-4.8155,-0.989744,5
1.1255,-4.50655,-2.51088,6
0.3212,-4.15837,-1.15624,5
1.52562,-3.83334,-2.33391,6
0.507904,-4.27387,-1.86795,6
0.770022,-4.31314,-1.06328,8
0.121124,-4.21533,-0.521129,8
-0.277897,-4.40201,-0.420458,8
0.86483,-3.86106,-1.12752,8
1.24666,-3.89813,-1.39168,6
0.270395,-4.75431,-1.69854,6
0.329911,-4.7535,-0.715647,8
-0.00102186,-4.3925,-1.25281,5
0.218052,-4.46869,-1.43812,5
1.16117,-3.78647,-2.13355,6
0.797826,-4.4711,-1.54537,6
1.1094,-4.377,-1.65028,6
0.416047,-4.07131,-1.16448,3
0.234123,-3.86048,-1.83518,6
-0.322793,-4.23341,-0.733452,5
-0.202182,-4.78207,-0.709378,8
-0.183302,-4.72001,-0.673985,8
-0.357449,-4.05962,-1.26669,5
-0.0477633,-4.52199,-0.465344,8
0.232987,-4.78495,-1.3064,5
1.10474,-4.29352,-1.91203,6
1.10401,-4.0132,-1.51169,6
-0.395208,-4.06492,-1.27687,5
-0.959116,-5.17288,-0.953766,8
0.116865,-4.80753,-1.10528,5
0.747718,-4.56707,-0.867916,8
0.663238,-3.73234,-0.74464,8
0.618736,-4.3122,-1.61313,6
1.00176,-4.41167,-1.20544,8
-0.529785,-4.55045,-1.51233,5
0.105498,-3.74714,-1.32604,3
0.259675,-4.89602,-0.650325,8
0.110394,-4.36038,-1.70533,6
0.982731,-3.51625,-1.88895,6
-0.162624,-4.33939,-1.2555,5
0.557957,-4.23918,-1.53654,6
0.375391,-4.25253,-0.734977,8
1.52032,-3.85974,-1.78621,6
-0.314084,-3.98911,-1.4006,5
0.517044,-4.46139,-0.676968,8
0.754741,-4.69932,-1.29426,5
0.245834,-4.94342,-1.49571,5
-0.0661758,-4.57239,-1.4519,5
0.917853,-4.21231,-1.2667,6
0.76361,-4.74614,-1.5228,6
0.222992,-4.63154,-1.27332,5
-0.688489,-4.5872,-1.45358,5
0.583908,-3.65451,-1.08477,6
1.1194,-4.32714,-1.13819,8
0.891468,-3.21565,-1.25162,6
-0.0213683,-4.74016,-0.916133,5
1.02952,-3.72562,-1.84738,6
0.512398,-4.24437,-1.2531,6
0.878,-3.76737,-1.59185,6
0.189883,-4.43178,-1.46748,5
0.84349,-3.79403,-1.68723,6
-0.282402,-4.21923,-1.19669,5
0.838273,-4.54277,-1.30455,5
0.704197,-4.30879,-1.4323,6
0.324338,-4.74424,-1.05498,5
0.856739,-3.85936,-1.50146,6
-0.126878,-4.64918,-0.701954,8
0.977172,-4.00589,-1.50844,6
0.398378,-4.00752,-1.39281,6
-0.312433,-4.3714,-0.754008,5
0.512677,-4.0322,-1.58887,6
-0.194763,-4.57349,-0.801094,5
0.873496,-4.02844,-1.18629,8
1.73701,-4.42229,-1.73248,6
0.806306,-4.2861,-2.03341,6
0.129776,-4.16531,-0.885482,5
-0.0122646,-4.18998,-1.21377,5
0.398793,-4.52137,-1.46394,6
0.858137,-4.12272,-1.24207,6
1.03116,-3.53755,-2.57488,6
0.403196,-4.34902,-1.90523,6
0.464013,-4.74192,-1.65613,6
0.357631,-3.23347,-1.34031,6
0.200613,-4.10042,-1.47083,6
1.68844,-3.20236,-1.30409,8
0.295109,-4.38051,-1.42662,5
0.360115,-4.78026,-0.725768,8
-0.545626,-3.65087,-0.650902,5
1.50018,-4.0745,-2.61982,6
0.988976,-3.96091,-1.44357,6
0.741455,-4.71899,-0.913905,5
1.40834,-4.0525,-2.23313,6
